model,kx,t_nu,response,response_imag,p_max,j_max
original_sugama,0.05,14.247745995204912,2.6040962207297875e-06,-1.8572799539848868e-17,24,10
original_sugama,0.05,14.29773808641616,2.666677267001508e-06,-2.6924005078016884e-17,24,10
original_sugama,0.05,14.347730177627405,2.633376074511049e-06,-2.6556180322738066e-17,24,10
original_sugama,0.05,14.397722268838647,2.538196027733836e-06,-1.823004445758742e-17,24,10
original_sugama,0.05,14.447714360049892,2.469860389318169e-06,-9.96595771078046e-18,24,10
original_sugama,0.05,14.49770645126114,2.4878934140731993e-06,-9.3552244926866e-18,24,10
original_sugama,0.05,14.547698542472384,2.569804627436747e-06,-1.661967634222151e-17,24,10
original_sugama,0.05,14.59769063368363,2.6359558621579738e-06,-2.476276225599421e-17,24,10
original_sugama,0.05,14.647682724894876,2.625308592988792e-06,-2.630089005182766e-17,24,10
original_sugama,0.05,14.69767481610612,2.5501907304079677e-06,-2.015238144038163e-17,24,10
original_sugama,0.05,14.747666907317369,2.4811610512998623e-06,-1.2329468526448893e-17,24,10
original_sugama,0.05,14.797658998528613,2.4794948351829876e-06,-1.009759774085338e-17,24,10
original_sugama,0.05,14.847651089739855,2.5417164421926355e-06,-1.526106886639345e-17,24,10
original_sugama,0.05,14.897643180951102,2.6061896432031773e-06,-2.276662726917653e-17,24,10
original_sugama,0.05,14.947635272162348,2.6124789660117434e-06,-2.565065844249651e-17,24,10
original_sugama,0.05,14.997627363373592,2.5564820268980415e-06,-2.1505992977954417e-17,24,10
original_sugama,0.05,15.047619454584838,2.49119995704261e-06,-1.447892340435723e-17,24,10
original_sugama,0.05,15.097611545796084,2.475318709726511e-06,-1.1162817229804739e-17,24,10
original_sugama,0.05,15.147603637007329,2.5193131588695956e-06,-1.444229078035213e-17,24,10
original_sugama,0.05,15.197595728218571,2.578425360257807e-06,-2.1026925380833676e-17,24,10
original_sugama,0.05,15.24758781942982,2.5964578603029782e-06,-2.4750847365505234e-17,24,10
original_sugama,0.05,15.297579910641064,2.5577002321140637e-06,-2.2357635621816714e-17,24,10
original_sugama,0.05,15.34757200185231,2.4991394329810812e-06,-1.6344536140603488e-17,24,10
original_sugama,0.05,15.397564093063554,2.473899351022917e-06,-1.2412009571053109e-17,24,10
original_sugama,0.05,15.4475561842748,2.501870589029058e-06,-1.408458929405428e-17,24,10
original_sugama,0.05,15.497548275486045,2.5533007828529552e-06,-1.9590356881904926e-17,24,10
original_sugama,0.05,15.547540366697293,2.578588302406584e-06,-2.3725063195269456e-17,24,10
original_sugama,0.05,15.597532457908535,2.554627757239012e-06,-2.27857960683485e-17,24,10
original_sugama,0.05,15.64752454911978,2.504514353549537e-06,-1.78928790483153e-17,24,10
original_sugama,0.05,15.697516640331028,2.474012555560985e-06,-1.3732703197655405e-17,24,10
original_sugama,0.05,15.747508731542272,2.488561621582603e-06,-1.410318141909233e-17,24,10
original_sugama,0.05,15.797500822753518,2.531118171821472e-06,-1.847143532832176e-17,24,10
original_sugama,0.05,15.847492913964762,2.5599641526794814e-06,-2.2671801610198918e-17,24,10
original_sugama,0.05,15.897485005176009,2.548107490013171e-06,-2.288346200705567e-17,24,10
original_sugama,0.05,15.947477096387251,2.5071578961990655e-06,-1.9122007658517102e-17,24,10
original_sugama,0.05,15.9974691875985,2.4746853646364403e-06,-1.5037375499015288e-17,24,10
original_sugama,0.05,16.047461278809745,2.4785365649125816e-06,-1.440748009919436e-17,24,10
original_sugama,0.05,16.09745337002099,2.511918496074026e-06,-1.7667945142662856e-17,24,10
