t,phi_zonal_real
5.982117843627929688e+01,3.071081999125037208e-05
6.002118301391601562e+01,1.242127984524442367e-05
6.022118759155273438e+01,-4.919515497085789898e-06
6.042119216918945312e+01,-2.098776002781573845e-05
6.062119674682617188e+01,-3.548427868696560236e-05
6.082120132446289062e+01,-4.814021807160500716e-05
6.102120590209960938e+01,-5.872208507871663904e-05
6.122121047973632812e+01,-6.703614610729368979e-05
6.142121505737304688e+01,-7.293199592813199347e-05
6.162121963500976562e+01,-7.630527526765020830e-05
6.182122421264648438e+01,-7.709949343551974045e-05
6.202122879028320312e+01,-7.530687233325039404e-05
6.222123336791992188e+01,-7.096828825650258624e-05
6.242123794555664062e+01,-6.417227508494610904e-05
6.262124252319335938e+01,-5.505308160555661150e-05
6.282124710083007812e+01,-4.378793938746671210e-05
6.302125167846679688e+01,-3.059331201644042514e-05
6.322125625610351562e+01,-1.572089151197856777e-05
6.342126083374023438e+01,5.475640953369093062e-07
6.362126541137695312e+01,1.790553619903016924e-05
6.382126998901367188e+01,3.602757841615278280e-05
6.402127075195312500e+01,5.457561827799766574e-05
6.422123718261718750e+01,7.320501140038783720e-05
6.442120361328125000e+01,9.157124433197821466e-05
6.462117004394531250e+01,1.093360536780090301e-04
6.482113647460937500e+01,1.261738253011925254e-04
6.502110290527343750e+01,1.417773750502443551e-04
6.522106933593750000e+01,1.558636386185233873e-04
6.542103576660156250e+01,1.681787428440519516e-04
6.562100219726562500e+01,1.785026914821334404e-04
6.582096862792968750e+01,1.866530613545894083e-04
6.602093505859375000e+01,1.924886549206967666e-04
6.622090148925781250e+01,1.959116684982542317e-04
6.642086791992187500e+01,1.968693948564107128e-04
6.662083435058593750e+01,1.953555474341220973e-04
6.682080078125000000e+01,1.914095618556781360e-04
6.702076721191406250e+01,1.851164649603599351e-04
6.722073364257812500e+01,1.766045610590774714e-04
6.742070007324218750e+01,1.660430890581154244e-04
6.762066650390625000e+01,1.536389919483900407e-04
6.782063293457031250e+01,1.396327986022673987e-04
6.802059936523437500e+01,1.242937925321907912e-04
6.822056579589843750e+01,1.079148168578115459e-04
6.842053222656250000e+01,9.080655538967961058e-05
6.862049865722656250e+01,7.329150812465078113e-05
6.882046508789062500e+01,5.569776304201834943e-05
6.902043151855468750e+01,3.835267689212847715e-05
6.922039794921875000e+01,2.157669610654360085e-05
6.942036437988281250e+01,5.677239517259947346e-06
6.962033081054687500e+01,-9.056891407619792973e-06
6.982029724121093750e+01,-2.236088223567562705e-05
7.002026367187500000e+01,-3.399859491238925761e-05
7.022023010253906250e+01,-4.376676057125803354e-05
7.042019653320312500e+01,-5.149836829562982708e-05
7.062016296386718750e+01,-5.706544455182672315e-05
7.082012939453125000e+01,-6.038103407300676219e-05
7.102009582519531250e+01,-6.140024760510597588e-05
7.122006225585937500e+01,-6.012082215624033873e-05
7.142002868652343750e+01,-5.658253891952206725e-05
7.161999511718750000e+01,-5.086624831105364825e-05
7.181996154785156250e+01,-4.309184723870297310e-05
7.201992797851562500e+01,-3.341582711595851232e-05
7.221989440917968750e+01,-2.202809243854810480e-05
7.241986083984375000e+01,-9.148170012375269467e-06
7.261982727050781250e+01,4.978889242646032486e-06
7.281979370117187500e+01,2.008724327577791262e-05
7.301976013183593750e+01,3.589503017370698567e-05
7.321972656250000000e+01,5.210976325546645064e-05
7.341969299316406250e+01,6.843355703821928928e-05
7.361965942382812500e+01,8.456848962833391078e-05
7.381962585449218750e+01,1.002221397496435559e-04
7.401959228515625000e+01,1.151126508201851705e-04
7.421955871582031250e+01,1.289739405065086920e-04
7.441952514648437500e+01,1.415603574056195245e-04
7.461949157714843750e+01,1.526509519797895648e-04
7.481945800781250000e+01,1.620534784176651320e-04
7.501942443847656250e+01,1.696076614763176538e-04
7.521939086914062500e+01,1.751878449696092437e-04
7.541935729980468750e+01,1.787051600169597021e-04
7.561932373046875000e+01,1.801087328460789644e-04
7.581929016113281250e+01,1.793865142603775749e-04
7.601925659179687500e+01,1.765650468134606610e-04
7.621922302246093750e+01,1.717087517669310312e-04
7.641918945312500000e+01,1.649181246553561419e-04
7.661915588378906250e+01,1.563281054639427392e-04
7.681912231445312500e+01,1.461048917762424056e-04
7.701908874511718750e+01,1.344426063629853196e-04
7.721905517578125000e+01,1.215595937212489018e-04
7.741902160644531250e+01,1.076941927556439955e-04
7.761898803710937500e+01,9.310008740193296726e-05
7.781895446777343750e+01,7.804171551664224006e-05
7.801892089843750000e+01,6.278913932012443195e-05
7.821888732910156250e+01,4.761331963036617379e-05
7.841885375976562500e+01,3.278125554925240341e-05
7.861882019042968750e+01,1.855114409178926032e-05
7.881878662109375000e+01,5.168100997284840060e-06
7.901875305175781250e+01,-7.140172060278950528e-06
7.921871948242187500e+01,-1.816704645303744196e-05
7.941868591308593750e+01,-2.773035895708822246e-05
7.961865234375000000e+01,-3.567530673111611930e-05
7.981861877441406250e+01,-4.187677560841676297e-05
8.001858520507812500e+01,-4.624116000619284518e-05
8.021855163574218750e+01,-4.870765805353723208e-05
8.041851806640625000e+01,-4.924886459947521214e-05
8.061848449707031250e+01,-4.787099311437402921e-05
8.081845092773437500e+01,-4.461329363245616707e-05
8.101841735839843750e+01,-3.954738699994334158e-05
8.121838378906250000e+01,-3.277525306903030785e-05
8.141835021972656250e+01,-2.442759725448836712e-05
8.161831665039062500e+01,-1.466100106936110567e-05
8.181828308105468750e+01,-3.655351686355423124e-06
8.201824951171875000e+01,8.389661240252283168e-06
8.221821594238281250e+01,2.125822219104102324e-05
8.241818237304687500e+01,3.472221922222340647e-05
8.261814880371093750e+01,4.854525598693152559e-05
8.281811523437500000e+01,6.248712895646237042e-05
8.301808166503906250e+01,7.630777826129782739e-05
8.321804809570312500e+01,8.977181154746768715e-05
8.341801452636718750e+01,1.026523565966348762e-04
8.361798095703125000e+01,1.147352668364938239e-04
8.381794738769531250e+01,1.258225192166826853e-04
8.401791381835937500e+01,1.357356048588764189e-04
8.421788024902343750e+01,1.443184975880644439e-04
8.441784667968750000e+01,1.514400696130082020e-04
8.461781311035156250e+01,1.569958523002568161e-04
8.481777954101562500e+01,1.609095641244013403e-04
8.501774597167968750e+01,1.631340856635318782e-04
8.521771240234375000e+01,1.636513722970627622e-04
8.541767883300781250e+01,1.624725706140000192e-04
8.561764526367187500e+01,1.596372471710579162e-04
