model,coordinate,kx,t_nu,abscissa,normalized_distribution,p_max,j_max
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.925,0.0010126136458052147,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.85,0.0015500032515213785,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.775,0.002334356028509677,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.7,0.003463501050447188,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.625,0.0050677842220351425,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.55,0.007317607923449356,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.475,0.010430345316071817,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.4,0.014675135635480414,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.325,0.020374191869462488,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.25,0.027899969154820112,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.175,0.03766867613640639,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.1,0.05013176970642641,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-2.025,0.06576777516943487,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.95,0.0850765605831758,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,-1.875,0.10857673380245393,24,10
